ds,Agency Services,Insurance_Actual
04.07.24,,23964801.09
05.07.24,,23964801.09
06.07.24,,23964801.09
07.07.24,,23964801.09
08.07.24,,23964801.09
09.07.24,,23964801.09
10.07.24,,23964801.09
11.07.24,,23964801.09
12.07.24,,23964801.09
13.07.24,,23964801.09
14.07.24,,23964801.09
15.07.24,,23964801.09
16.07.24,,23964801.09
17.07.24,,23964801.09
18.07.24,,23964801.09
19.07.24,,23964801.09
20.07.24,,23964801.09
21.07.24,,23964801.09
22.07.24,,23964801.09
23.07.24,,23964801.09
24.07.24,,23964801.09
25.07.24,,23964801.09
26.07.24,,23964801.09
27.07.24,,23964801.09
28.07.24,,23964801.09
29.07.24,,23964801.09
30.07.24,,23964801.09
31.07.24,,23964801.09
01.08.24,,25984869.89
02.08.24,,25984869.89
03.08.24,,25984869.89
04.08.24,,25984869.89
05.08.24,,25984869.89
06.08.24,,25984869.89
07.08.24,,25984869.89
08.08.24,,25984869.89
09.08.24,,25984869.89
10.08.24,,25984869.89
11.08.24,,25984869.89
12.08.24,,25984869.89
13.08.24,,25984869.89
14.08.24,,25984869.89
15.08.24,,25984869.89
16.08.24,,25984869.89
17.08.24,,25984869.89
18.08.24,,25984869.89
19.08.24,,25984869.89
20.08.24,,25984869.89
21.08.24,,25984869.89
22.08.24,,25984869.89
23.08.24,,25984869.89
24.08.24,,25984869.89
25.08.24,,25984869.89
26.08.24,,25984869.89
27.08.24,,25984869.89
28.08.24,,25984869.89
29.08.24,,25984869.89
30.08.24,,25984869.89
31.08.24,,25984869.89
01.09.24,,28553607.89
02.09.24,,28553607.89
03.09.24,,28553607.89
04.09.24,,28553607.89
05.09.24,,28553607.89
06.09.24,,28553607.89
07.09.24,,28553607.89
08.09.24,,28553607.89
09.09.24,,28553607.89
10.09.24,,28553607.89
11.09.24,,28553607.89
12.09.24,,28553607.89
13.09.24,,28553607.89
14.09.24,,28553607.89
15.09.24,,28553607.89
16.09.24,,28553607.89
17.09.24,,28553607.89
18.09.24,,28553607.89
19.09.24,,28553607.89
20.09.24,,28553607.89
21.09.24,,28553607.89
22.09.24,,28553607.89
23.09.24,,28553607.89
24.09.24,,28553607.89
25.09.24,,28553607.89
26.09.24,,28553607.89
27.09.24,,28553607.89
28.09.24,,28553607.89
29.09.24,,28553607.89
30.09.24,,28553607.89
01.10.24,,32407222.93
02.10.24,,32407222.93
03.10.24,,32407222.93
04.10.24,,32407222.93
05.10.24,,32407222.93
06.10.24,,32407222.93
07.10.24,,32407222.93
08.10.24,,32407222.93
09.10.24,,32407222.93
10.10.24,,32407222.93
11.10.24,,32407222.93
12.10.24,,32407222.93
13.10.24,,32407222.93
14.10.24,,32407222.93
15.10.24,,32407222.93
16.10.24,,32407222.93
17.10.24,,32407222.93
18.10.24,,32407222.93
19.10.24,,32407222.93
20.10.24,,32407222.93
21.10.24,,32407222.93
22.10.24,,32407222.93
23.10.24,,32407222.93
24.10.24,,32407222.93
25.10.24,,32407222.93
26.10.24,,32407222.93
27.10.24,,32407222.93
28.10.24,,32407222.93
29.10.24,,32407222.93
30.10.24,,32407222.93
31.10.24,,32407222.93
01.11.24,,31824538.23
02.11.24,,31824538.23
03.11.24,,31824538.23
04.11.24,,31824538.23
05.11.24,,31824538.23
06.11.24,,31824538.23
07.11.24,,31824538.23
08.11.24,,31824538.23
09.11.24,,31824538.23
10.11.24,,31824538.23
11.11.24,,31824538.23
12.11.24,,31824538.23
13.11.24,,31824538.23
14.11.24,,31824538.23
15.11.24,,31824538.23
16.11.24,,31824538.23
17.11.24,,31824538.23
18.11.24,,31824538.23
19.11.24,,31824538.23
20.11.24,,31824538.23
21.11.24,,31824538.23
22.11.24,,31824538.23
23.11.24,,31824538.23
24.11.24,,31824538.23
25.11.24,,31824538.23
26.11.24,,31824538.23
27.11.24,,31824538.23
28.11.24,,31824538.23
29.11.24,,31824538.23
30.11.24,,31824538.23
01.12.24,,35254798.93
